geneID,GeneName,Chrom,Strand,Start,End,GeneLength,BC_1_readcount,BC_2_readcount,BC_3_readcount,BC_DOX_1_readcount,BC_DOX_2_readcount,BC_DOX_3_readcount,DL_1_readcount,DL_2_readcount,DL_3_readcount,DL_DOX_1_readcount,DL_DOX_2_readcount,DL_DOX_3_readcount,HT_1_readcount,HT_2_readcount,HT_3_readcount,HT_ZN_1_readcount,HT_ZN_2_readcount,HT_ZN_3_readcount,L8_1_readcount,L8_2_readcount,L8_3_readcount,L8_DOX_1_readcount,L8_DOX_2_readcount,L8_DOX_3_readcount,BC_1_fpkm,BC_2_fpkm,BC_3_fpkm,BC_DOX_1_fpkm,BC_DOX_2_fpkm,BC_DOX_3_fpkm,DL_1_fpkm,DL_2_fpkm,DL_3_fpkm,DL_DOX_1_fpkm,DL_DOX_2_fpkm,DL_DOX_3_fpkm,HT_1_fpkm,HT_2_fpkm,HT_3_fpkm,HT_ZN_1_fpkm,HT_ZN_2_fpkm,HT_ZN_3_fpkm,L8_1_fpkm,L8_2_fpkm,L8_3_fpkm,L8_DOX_1_fpkm,L8_DOX_2_fpkm,L8_DOX_3_fpkm,DL_group_fpkm,BC_DOX_group_fpkm,HT_ZN_group_fpkm,BC_group_fpkm,HT_group_fpkm,DL_DOX_group_fpkm,L8_DOX_group_fpkm,L8_group_fpkm,L8_DOX(L8_DOXvsL8),L8(L8_DOXvsL8),log2FoldChange(L8_DOXvsL8),pvalue(L8_DOXvsL8),padj(L8_DOXvsL8),significant(L8_DOXvsL8),DL_DOX(DL_DOXvsDL),DL(DL_DOXvsDL),log2FoldChange(DL_DOXvsDL),pvalue(DL_DOXvsDL),padj(DL_DOXvsDL),significant(DL_DOXvsDL),BC_DOX(BC_DOXvsBC),BC(BC_DOXvsBC),log2FoldChange(BC_DOXvsBC),pvalue(BC_DOXvsBC),padj(BC_DOXvsBC),significant(BC_DOXvsBC),HT_ZN(HT_ZNvsHT),HT(HT_ZNvsHT),log2FoldChange(HT_ZNvsHT),pvalue(HT_ZNvsHT),padj(HT_ZNvsHT),significant(HT_ZNvsHT),GeneType,GeneDescription
ENSG00000100288,CHKB,chr22,-,51017378,51039884,2114,6,2,2,5,6,4,4,5,3,4,10,8,0,1,0,1,1,1,2,12,5,3,9,2,0.118096011,0.059973191,0.057722778,0.088152034,0.113959998,0.095229691,0.087496641,0.137898139,0.090784841,0.097308042,0.19804849,0.203146963,0,0.033636761,0,0.029690244,0.022291713,0.022341699,0.044039526,0.26130641,0.102760433,0.061849856,0.200419595,0.066749803,0.105393207,0.099113908,0.024774552,0.078597327,0.011212254,0.166167832,0.109673085,0.136035457,4.733514925,5.841332585,-0.03043,0.7601,NA,NA,6.693204256,4.26136271,0.25724,0.43193,0.59961,FALSE,4.457461078,3.350013192,0.2361,0.70485,0.79785,FALSE,0.951858955,0.377670539,0.18403,0.59079,NA,NA,protein_coding,choline_kinase_beta
ENSG00000183864,TOB2,chr22,-,41829496,41843027,4561,2708,1568,1831,3158,2711,2248,3925,3054,2854,4535,5685,4357,1756,1409,1453,1583,1981,2096,2428,2619,2946,3087,2721,1856,24.70458412,21.79305588,24.49347949,25.80592141,23.86577876,24.8058208,39.79385029,39.03932911,40.03049527,51.13413889,52.18514745,51.28056704,22.75188821,21.96696571,21.33897448,21.78409824,20.46787813,21.70462954,24.78028152,26.43316863,28.06296635,29.49843538,28.08478624,28.7106401,39.62122489,24.82584032,21.31886864,23.6637065,22.01927613,51.53328446,28.76462058,26.42547216,2685.375137,2457.310311,0.12437,0.017057,0.080301,FALSE,4486.718539,3459.957407,0.37362,3.24E-22,5.02E-21,TRUE,2409.940464,2179.021697,0.14383,0.016027,0.033704,TRUE,1768.370145,1610.220374,0.13345,0.013675,0.031669,TRUE,protein_coding,transducer_of_ERBB2_2
ENSG00000161970,RPL26,chr17,-,8280838,8286531,1002,116,71,75,82,67,63,185,139,115,105,157,154,52,37,55,34,41,45,118,137,167,140,146,88,4.817028627,4.491824436,4.566839557,3.050095571,2.684808079,3.164391398,8.537689962,8.087987361,7.342216487,5.389088369,6.560069628,8.250463179,3.066822409,2.625748667,3.676740424,2.129756438,1.928255392,2.12112354,5.48191013,6.293998657,7.241185197,6.089515471,6.859426193,6.196406862,7.989297937,2.966431683,2.05971179,4.625230874,3.123103834,6.733207059,6.381782842,6.339031328,130.845325,129.437835,0.011725,0.93155,0.97541,FALSE,128.669952,153.3000798,-0.24053,0.15392,0.27628,FALSE,63.24375887,93.56812044,-0.55248,0.011253,0.024314,TRUE,37.5351047,50.20496762,-0.38604,0.15775,0.26127,FALSE,protein_coding,ribosomal_protein_L26
ENSG00000255277,ABCC6P2,chr16,-,14914649,14918563,717,4,4,5,14,12,7,5,5,1,13,3,12,8,6,3,1,2,0,2,3,4,4,4,2,0.232129211,0.353649446,0.425474034,0.727739917,0.671998425,0.491355986,0.322468444,0.406578336,0.089223224,0.93243362,0.175177618,0.898436571,0.659361883,0.595046967,0.280265797,0.087538598,0.131449597,0,0.129845967,0.1926087,0.242382768,0.243143833,0.262629489,0.196804858,0.272756668,0.630364776,0.072996065,0.33708423,0.511558216,0.668682603,0.234192727,0.188279145,3.435896518,2.747903741,0.026577,0.76071,NA,NA,9.167073186,3.744227548,0.46687,0.15193,0.27343,FALSE,9.63159781,4.884607002,0.75906,0.1748,0.27727,FALSE,0.947783283,5.875717666,-1.0372,0.032138,0.067371,FALSE,pseudogene,ATP-binding_cassette_sub-family_C_member_6_pseudogene_2
ENSG00000230487,PSMG3-AS1,chr7,+,1609709,1629262,5701,49,48,47,177,131,107,118,102,94,126,96,108,68,49,48,23,39,56,44,28,34,37,48,14,0.357630046,0.533730895,0.503001209,1.157149687,0.922627552,0.944604704,0.957122089,1.0431398,1.054809128,1.136614604,0.705012326,1.016946359,0.704873004,0.611173043,0.563972851,0.253218563,0.322375468,0.46393609,0.3592686,0.226089707,0.259112749,0.282861023,0.396362765,0.17326146,1.018357006,1.008127314,0.34651004,0.464787383,0.626672966,0.952857763,0.284161749,0.281490352,33.12578135,32.78846797,0.017575,0.9118,0.96848,FALSE,103.7835317,111.1252126,-0.095405,0.61603,0.75673,FALSE,122.4029658,53.54105837,1.1773,2.39E-07,8.35E-07,TRUE,35.98427116,57.28074463,-0.60158,0.030739,0.064898,FALSE,lincRNA,PSMG3_antisense_RNA_1_(head_to_head)
ENSG00000230484,OR51A10P,chr11,-,5489716,5490652,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,olfactory_receptor_family_51_subfamily_A_member_10_pseudogene
ENSG00000176390,CRLF3,chr17,-,29096406,29151794,2957,791,519,508,927,908,688,184,134,123,220,321,265,397,361,345,335,464,436,484,529,606,574,509,343,11.13048577,11.12623375,10.48176938,11.68411241,12.32936441,11.70993491,2.877417439,2.642085448,2.661036636,3.826177239,4.544961681,4.81082856,7.933999854,8.681105389,7.815122188,7.11069788,7.39460662,6.963961096,7.61924016,8.23527579,8.903939592,8.460246012,8.103434219,8.184040523,2.726846508,11.90780391,7.156421865,10.91282963,8.143409144,4.39398916,8.249240251,8.252818514,499.2816127,497.4960041,0.0046543,0.95749,0.98473,FALSE,247.8839636,154.4124183,0.64925,3.37E-06,1.58E-05,TRUE,749.292362,651.5487677,0.20088,0.01267,0.027144,TRUE,384.7969263,386.0096498,-0.0028651,0.97734,0.98585,FALSE,protein_coding,cytokine_receptor-like_factor_3
ENSG00000188883,KLRG2,chr7,-,139137436,139168458,2197,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.016964351,0.018275788,0,0,0,0.029118367,0,0.019056646,0,0,0,0,0,0,0,0,0.041905762,0,0,0,0,0.009706122,0.011746713,0,0,0,0.006352215,0,0.013968587,0,0.622230997,-0.011733,0.65826,NA,NA,0.265336226,0.407359216,-0.0072319,0.95428,NA,NA,0.552155494,0,0.17349,0.66298,NA,NA,0,0,NA,NA,NA,NA,protein_coding,killer_cell_lectin-like_receptor_subfamily_G_member_2
ENSG00000116016,EPAS1,chr2,+,46520806,46613836,5160,887,521,552,5055,4128,3402,616,498,492,2379,2958,2302,669,576,622,2026,2530,2432,32,70,42,239,207,108,7.152582533,6.400592347,6.526969577,36.51226503,32.12152472,33.18195538,5.520359785,5.626949614,6.099756071,23.71037747,24.00075956,23.94864514,7.661775493,7.937649774,8.074370714,24.64384585,23.10570577,22.26050644,0.288680801,0.624485183,0.353639277,2.018694609,1.88852743,1.476722967,5.749021824,33.93858171,23.33668602,6.693381486,7.891265327,23.88659405,1.794648335,0.422268421,189.5366589,44.35643492,1.3655,2.70E-19,1.47E-17,TRUE,2352.797415,567.8876458,2.0364,1.43E-239,6.26E-237,TRUE,3728.049881,697.2474063,2.4077,6.32E-271,9.76E-269,TRUE,2189.322728,652.8799806,1.738,3.40E-172,3.13E-170,TRUE,protein_coding,endothelial_PAS_domain_protein_1
ENSG00000249082,CTC-276P9.1,chr5,-,134374528,134375737,836,2,1,0,0,0,0,0,0,0,0,1,1,3,4,1,14,27,14,0,1,0,2,0,0,0.099543448,0.075827348,0,0,0,0,0,0,0,0,0.050080683,0.064212422,0.212064505,0.340230204,0.080123834,1.051091448,1.521969348,0.790938889,0,0.05506397,0,0.104266823,0,0,0,0,1.121333228,0.058456932,0.210806181,0.038097702,0.034755608,0.018354657,0.597543399,0.311115498,0.011185,0.73324,NA,NA,0.60522351,0,0.058958,0.62811,NA,NA,0,0.984871623,-0.4443,0.3388,NA,NA,17.0289077,2.819359314,1.6616,0.00032655,0.0010239,TRUE,lincRNA,-
ENSG00000137409,MTCH1,chr6,-,36935917,36954074,2057,6152,4386,4496,6987,6306,4825,4770,3718,3341,5440,6662,5009,3420,2698,2968,3340,4503,4777,5921,5713,5877,6259,5544,3920,124.4431497,135.165695,133.3565106,126.5971032,123.0908695,118.0539148,107.2310257,105.3824956,103.9056709,136.0060838,135.5959927,130.7200096,98.25277388,93.26674171,96.64905386,101.9133129,103.1611262,109.6837073,133.9918536,127.8508832,124.131586,132.6151326,126.8795364,134.4549362,105.5063974,122.5806292,104.9193821,130.9884518,96.05618982,134.107362,131.3165351,128.6581076,5528.936781,5399.332041,0.033139,0.46663,0.72363,FALSE,5266.376809,4155.340031,0.34014,1.49E-18,1.87E-17,TRUE,5367.159262,5441.435467,-0.017955,0.71483,0.80594,FALSE,3925.642116,3168.316568,0.30884,3.52E-12,2.26E-11,TRUE,protein_coding,mitochondrial_carrier_1
ENSG00000224236,MRRFP1,chrX,-,122249960,122251634,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,mitochondrial_ribosome_recycling_factor_pseudogene_1
ENSG00000130755,GMFG,chr19,-,39818993,39833012,1028,2,1,1,1,0,0,0,1,0,4,5,1,80,67,70,14,4,25,1,5,1,1,0,1,0.080951675,0.061665042,0.059351144,0.036255525,0,0,0,0.056715305,0,0.200106227,0.203635461,0.052219441,4.598856711,4.634478153,4.561135007,0.854778648,0.183364516,1.148598026,0.045281886,0.223898245,0.042263727,0.042396432,0,0.068632823,0.018905102,0.012085175,0.72891373,0.067322621,4.598156624,0.151987043,0.037009752,0.10381462,0.780620517,2.169466755,-0.050623,0.399,NA,NA,2.987312141,0.369790397,0.36732,0.12967,0.24003,FALSE,0.267415382,1.396611668,-0.54086,0.33797,NA,NA,13.65569486,75.78751141,-2.1575,4.39E-11,2.63E-10,TRUE,protein_coding,glia_maturation_factor_gamma
ENSG00000069712,KIAA1107,chr1,+,92632542,92650280,4622,254,130,144,239,274,184,246,219,190,292,362,264,60,55,59,51,79,93,136,136,168,185,153,120,2.286613352,1.782976247,1.900880271,1.927237673,2.380273089,2.003573363,2.461169582,2.762533536,2.629787923,3.248977007,3.279103672,3.066191793,0.767139447,0.846158847,0.855047167,0.692562511,0.805462952,0.95032943,1.369703586,1.354511721,1.579211311,1.744472836,1.558346905,1.831792517,2.617830347,2.103694708,0.816118298,1.990156623,0.82278182,3.198090824,1.711537419,1.434475539,161.9441598,135.1891071,0.20096,0.12508,0.34009,FALSE,282.1962487,231.5878322,0.27858,0.020387,0.049483,TRUE,206.8804678,185.6535078,0.14608,0.34068,0.47259,FALSE,68.65458209,60.97239777,0.16867,0.46933,0.60955,FALSE,protein_coding,KIAA1107
ENSG00000105855,ITGB8,chr7,+,20370325,20450419,5573,26,12,4,45,26,22,55,36,24,22,13,22,59,57,40,66,96,68,28,42,56,52,57,30,0.194121333,0.136497391,0.043791837,0.300947533,0.187322726,0.198678561,0.456362572,0.376623004,0.275498517,0.203014644,0.097663172,0.211913668,0.625627708,0.727285558,0.480771761,0.743316266,0.811765536,0.576289944,0.233876515,0.346923762,0.436576032,0.406664933,0.481491324,0.379801947,0.369494698,0.22898294,0.710457249,0.12480352,0.611228342,0.170863828,0.422652735,0.339125436,48.19044011,38.47065238,0.16685,0.29845,0.57398,FALSE,18.19098167,39.45615529,-0.84297,0.0042271,0.012068,TRUE,27.20262433,14.02220951,0.80567,0.062489,0.11495,FALSE,71.94562964,54.57774734,0.3719,0.12653,0.2183,FALSE,protein_coding,integrin_beta_8
ENSG00000105856,HBP1,chr7,+,106809406,106842974,2829,962,594,610,1810,1697,1446,675,504,504,959,1221,1038,802,633,739,942,1330,1410,881,873,1031,1059,1018,676,14.1491739,13.31023256,13.15585566,23.84585749,24.08546635,25.72484181,11.033345,10.38702015,11.39710779,17.43329131,18.07004502,19.69653069,16.75307091,15.91072296,17.49764064,20.89953866,22.15476321,23.5400476,14.49641411,14.20545329,15.83385353,16.31493834,16.94015906,16.85926838,10.93915765,24.55205522,22.19811649,13.53842071,16.72047817,18.39995568,16.70478859,14.84524031,967.154056,856.4486753,0.16552,0.017155,0.080636,FALSE,993.4268407,592.5521117,0.73479,1.47E-21,2.16E-20,TRUE,1477.643385,773.2579174,0.92799,6.62E-42,8.01E-41,TRUE,1142.37911,758.5609532,0.58884,7.48E-16,5.89E-15,TRUE,protein_coding,HMG-box_transcription_factor_1
ENSG00000180660,MAB21L1,chr13,-,36047926,36050832,2907,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014313437,0,0.041976592,0,0,0,0,0,0,0.01769085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018763343,0,0.00589695,0,0,0,0,NA,NA,NA,NA,0.330185931,0,0.0201,0.85127,NA,NA,0,1.101875017,-0.49109,0.30174,NA,NA,0,0,NA,NA,NA,NA,protein_coding,mab-21-like_1_(C._elegans)
ENSG00000180662,RPL21P8,chr14,-,65934525,65935059,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,ribosomal_protein_L21_pseudogene_8
ENSG00000135632,SMYD5,chr2,+,73441350,73454365,2593,1466,1113,1177,900,811,658,953,763,680,584,702,563,603,524,516,459,486,459,1057,1151,1158,1174,1038,734,23.52450063,27.20976518,27.69466769,12.93621752,12.55811635,12.77146578,16.99521867,17.15597507,16.77658118,11.58254665,11.33472828,11.65550806,13.74256505,14.36970728,13.32954075,11.11038,8.832470014,8.360482464,18.97536315,20.43368091,19.40291352,19.73276774,18.8450585,19.97186026,16.97592497,12.75526655,9.434444159,26.14297783,13.81393769,11.524261,19.51656217,19.60398586,1035.845593,1036.607216,-0.0022653,0.97241,0.98939,FALSE,570.4511553,842.7511954,-0.55712,1.42E-13,1.29E-12,TRUE,703.8627796,1369.200003,-0.95215,9.29E-34,9.09E-33,TRUE,444.593862,574.238269,-0.37115,0.0002619,0.00082904,TRUE,protein_coding,SMYD_family_member_5
ENSG00000135631,RAB11FIP5,chr2,-,73300510,73383849,4342,1057,727,771,1774,1614,1260,894,684,641,1342,1600,1264,517,432,401,552,758,686,660,716,757,877,737,558,10.12917624,10.61394268,10.83394861,15.22758783,14.92519026,14.60488338,9.521033047,9.184587751,9.444202211,15.89484965,15.42789526,15.62725094,7.036452008,7.074782272,6.186180041,7.979358961,8.226740639,7.462003839,7.075737978,7.590965253,7.574726661,8.803030331,7.99061713,9.067119831,9.383274336,14.91922049,7.889367813,10.52568918,6.765804774,15.64999861,8.620255764,7.413809964,766.2023223,656.3843788,0.20636,0.0077452,0.043275,TRUE,1297.265008,780.0933317,0.72546,7.57E-29,1.60E-27,TRUE,1378.727629,922.9304577,0.58111,8.36E-18,4.91E-17,TRUE,622.8168979,470.9260008,0.39922,7.69E-06,2.96E-05,TRUE,protein_coding,RAB11_family_interacting_protein_5_(class_I)
ENSG00000077458,FAM76B,chr11,-,95502106,95523573,3952,807,517,529,568,576,499,730,635,520,653,805,671,387,362,358,306,464,441,486,564,620,517,496,340,8.496607537,8.29288711,8.166969777,5.35671717,5.852099646,6.354786687,8.541660329,9.368071022,8.417506774,8.497476515,8.528162412,9.114459414,5.786914089,6.513445533,6.067839611,4.859854139,5.53285723,5.270390869,5.724492083,6.569555234,6.816095377,5.701590618,5.908366047,6.069975759,8.775746042,5.854534501,5.221034079,8.318821475,6.122733078,8.713366114,5.893310808,6.370047565,476.6554651,513.1334974,-0.10045,0.25722,0.5306,FALSE,657.2714425,663.879481,-0.015231,0.84928,0.91627,FALSE,492.0421925,663.7934639,-0.43367,1.48E-06,4.84E-06,TRUE,375.2763269,387.8996082,-0.042421,0.68327,0.78683,FALSE,protein_coding,family_with_sequence_similarity_76_member_B
ENSG00000262953,EIF4A1P9,chr17,-,2489624,2491160,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,eukaryotic_translation_initiation_factor_4A1_pseudogene_9
